"action_type","combined_shot_type","lat","loc_x","loc_y","lon","minutes_remaining","period","playoffs","season","seconds_remaining","shot_distance","shot_made_flag","shot_type","shot_zone_area","shot_zone_basic","shot_zone_range","game_month","matchup","opponent"
"Jump Shot","Jump Shot",33.8143,-103,230,-118.3728,5,4,0,"2000-01",43,25,"0","3PT Field Goal","Left Side Center(LC)","Above the Break 3","24+ ft.","11","Away","SAC"
"Jump Shot","Jump Shot",33.7973,-31,247,-118.3008,0,4,0,"2000-01",2,24,"1","3PT Field Goal","Center(C)","Above the Break 3","24+ ft.","11","Away","SAC"
"Jump Shot","Jump Shot",33.9453,-10,99,-118.2798,2,5,0,"2000-01",5,9,"1","2PT Field Goal","Center(C)","In The Paint (Non-RA)","8-16 ft.","11","Away","SAC"
"Jump Shot","Jump Shot",33.9443,13,100,-118.2568,2,5,0,"2000-01",7,10,"0","2PT Field Goal","Center(C)","In The Paint (Non-RA)","8-16 ft.","11","Away","SAC"
"Jump Shot","Jump Shot",33.8443,-73,200,-118.3428,0,5,0,"2000-01",24,21,"1","2PT Field Goal","Left Side Center(LC)","Mid-Range","16-24 ft.","11","Away","SAC"
"Jump Shot","Jump Shot",33.8603,-77,184,-118.3468,10,1,0,"2000-01",5,19,"1","2PT Field Goal","Left Side Center(LC)","Mid-Range","16-24 ft.","11","Away","DEN"
"Jump Shot","Jump Shot",33.8673,188,177,-118.0818,9,1,0,"2000-01",7,25,"0","3PT Field Goal","Right Side Center(RC)","Above the Break 3","24+ ft.","11","Away","DEN"
"Driving Layup Shot","Layup",34.0443,0,0,-118.2698,8,1,0,"2000-01",15,0,"0","2PT Field Goal","Center(C)","Restricted Area","Less Than 8 ft.","11","Away","DEN"
"Jump Shot","Jump Shot",33.9073,-128,137,-118.3978,4,1,0,"2000-01",22,18,"0","2PT Field Goal","Left Side Center(LC)","Mid-Range","16-24 ft.","11","Away","DEN"
"Alley Oop Dunk Shot","Dunk",34.0443,0,0,-118.2698,4,1,0,"2000-01",9,0,"1","2PT Field Goal","Center(C)","Restricted Area","Less Than 8 ft.","11","Away","DEN"
"Jump Shot","Jump Shot",33.9513,1,93,-118.2688,11,2,0,"2000-01",19,9,"0","2PT Field Goal","Center(C)","In The Paint (Non-RA)","8-16 ft.","11","Away","DEN"
"Jump Shot","Jump Shot",33.8843,115,160,-118.1548,6,2,0,"2000-01",51,19,"1","2PT Field Goal","Right Side Center(RC)","Mid-Range","16-24 ft.","11","Away","DEN"
"Jump Shot","Jump Shot",33.8443,159,200,-118.1108,6,2,0,"2000-01",11,25,"1","3PT Field Goal","Right Side Center(RC)","Above the Break 3","24+ ft.","11","Away","DEN"
"Jump Shot","Jump Shot",34.0443,167,0,-118.1028,0,2,0,"2000-01",21,16,"0","2PT Field Goal","Right Side(R)","Mid-Range","16-24 ft.","11","Away","DEN"
"Jump Shot","Jump Shot",33.7993,-162,245,-118.4318,11,3,0,"2000-01",17,29,"0","3PT Field Goal","Left Side Center(LC)","Above the Break 3","24+ ft.","11","Away","DEN"
"Jump Shot","Jump Shot",34.0503,167,-6,-118.1028,8,3,0,"2000-01",35,16,"0","2PT Field Goal","Right Side(R)","Mid-Range","16-24 ft.","11","Away","DEN"
"Jump Shot","Jump Shot",33.8943,-4,150,-118.2738,6,3,0,"2000-01",24,15,"1","2PT Field Goal","Center(C)","Mid-Range","8-16 ft.","11","Away","DEN"
"Jump Shot","Jump Shot",34.0353,-185,9,-118.4548,5,3,0,"2000-01",1,18,"1","2PT Field Goal","Left Side(L)","Mid-Range","16-24 ft.","11","Away","DEN"
"Jump Shot","Jump Shot",34.0253,237,19,-118.0328,3,3,0,"2000-01",21,23,"1","3PT Field Goal","Right Side(R)","Right Corner 3","24+ ft.","11","Away","DEN"
"Jump Shot","Jump Shot",34.0253,-229,19,-118.4988,0,3,0,"2000-01",47,22,"1","3PT Field Goal","Left Side(L)","Left Corner 3","24+ ft.","11","Away","DEN"
"Driving Layup Shot","Layup",34.0443,0,0,-118.2698,11,4,0,"2000-01",10,0,"0","2PT Field Goal","Center(C)","Restricted Area","Less Than 8 ft.","11","Away","DEN"
"Reverse Dunk Shot","Dunk",34.0443,0,0,-118.2698,7,4,0,"2000-01",10,0,"1","2PT Field Goal","Center(C)","Restricted Area","Less Than 8 ft.","11","Away","DEN"
"Jump Shot","Jump Shot",33.9623,37,82,-118.2328,1,4,0,"2000-01",18,8,"1","2PT Field Goal","Center(C)","In The Paint (Non-RA)","8-16 ft.","11","Away","DEN"
"Jump Shot","Jump Shot",33.9573,-42,87,-118.3118,0,4,0,"2000-01",46,9,"0","2PT Field Goal","Center(C)","In The Paint (Non-RA)","8-16 ft.","11","Away","DEN"
"Jump Shot","Jump Shot",33.7973,28,247,-118.2418,9,1,0,"2000-01",3,24,"0","3PT Field Goal","Center(C)","Above the Break 3","24+ ft.","11","Home","CHI"
"Jump Shot","Jump Shot",33.9473,7,97,-118.2628,6,1,0,"2000-01",10,9,"0","2PT Field Goal","Center(C)","In The Paint (Non-RA)","8-16 ft.","11","Home","CHI"
"Slam Dunk Shot","Dunk",34.0443,0,0,-118.2698,3,1,0,"2000-01",10,0,"1","2PT Field Goal","Center(C)","Restricted Area","Less Than 8 ft.","11","Home","CHI"
"Layup Shot","Layup",34.0443,0,0,-118.2698,0,1,0,"2000-01",13,0,"0","2PT Field Goal","Center(C)","Restricted Area","Less Than 8 ft.","11","Home","CHI"
"Slam Dunk Shot","Dunk",34.0443,0,0,-118.2698,7,2,0,"2000-01",24,0,"1","2PT Field Goal","Center(C)","Restricted Area","Less Than 8 ft.","11","Home","CHI"
"Jump Shot","Jump Shot",33.9093,115,135,-118.1548,6,2,0,"2000-01",3,17,"0","2PT Field Goal","Right Side Center(RC)","Mid-Range","16-24 ft.","11","Home","CHI"
"Jump Shot","Jump Shot",33.8603,142,184,-118.1278,0,2,0,"2000-01",44,23,"0","2PT Field Goal","Right Side Center(RC)","Mid-Range","16-24 ft.","11","Home","CHI"
"Slam Dunk Shot","Dunk",34.0443,0,0,-118.2698,11,3,0,"2000-01",24,0,"1","2PT Field Goal","Center(C)","Restricted Area","Less Than 8 ft.","11","Home","CHI"
"Layup Shot","Layup",34.0443,0,0,-118.2698,10,3,0,"2000-01",19,0,"1","2PT Field Goal","Center(C)","Restricted Area","Less Than 8 ft.","11","Home","CHI"
"Jump Shot","Jump Shot",33.8813,79,163,-118.1908,9,3,0,"2000-01",45,18,"0","2PT Field Goal","Right Side Center(RC)","Mid-Range","16-24 ft.","11","Home","CHI"
"Jump Shot","Jump Shot",33.9033,142,141,-118.1278,7,3,0,"2000-01",22,20,"1","2PT Field Goal","Right Side Center(RC)","Mid-Range","16-24 ft.","11","Home","CHI"
"Jump Shot","Jump Shot",33.9193,30,125,-118.2398,6,3,0,"2000-01",43,12,"0","2PT Field Goal","Center(C)","In The Paint (Non-RA)","8-16 ft.","11","Home","CHI"
"Running Jump Shot","Jump Shot",33.9473,-60,97,-118.3298,4,3,0,"2000-01",55,11,"1","2PT Field Goal","Left Side(L)","In The Paint (Non-RA)","8-16 ft.","11","Home","CHI"
"Driving Layup Shot","Layup",34.0443,0,0,-118.2698,1,3,0,"2000-01",34,0,"0","2PT Field Goal","Center(C)","Restricted Area","Less Than 8 ft.","11","Home","CHI"
"Jump Shot","Jump Shot",33.7993,115,245,-118.1548,11,4,0,"2000-01",13,27,"0","3PT Field Goal","Right Side Center(RC)","Above the Break 3","24+ ft.","11","Home","CHI"
"Jump Shot","Jump Shot",33.8603,-132,184,-118.4018,10,4,0,"2000-01",52,22,"0","2PT Field Goal","Left Side Center(LC)","Mid-Range","16-24 ft.","11","Home","CHI"
"Driving Layup Shot","Layup",34.0443,0,0,-118.2698,10,4,0,"2000-01",12,0,"0","2PT Field Goal","Center(C)","Restricted Area","Less Than 8 ft.","11","Home","CHI"
"Layup Shot","Layup",34.0443,0,0,-118.2698,10,4,0,"2000-01",8,0,"0","2PT Field Goal","Center(C)","Restricted Area","Less Than 8 ft.","11","Home","CHI"
"Running Jump Shot","Jump Shot",33.9683,-25,76,-118.2948,2,4,0,"2000-01",20,8,"1","2PT Field Goal","Center(C)","In The Paint (Non-RA)","8-16 ft.","11","Home","CHI"
"Jump Shot","Jump Shot",33.9363,-145,108,-118.4148,1,4,0,"2000-01",37,18,"0","2PT Field Goal","Left Side Center(LC)","Mid-Range","16-24 ft.","11","Home","CHI"
"Jump Shot","Jump Shot",34.0733,-208,-29,-118.4778,0,4,0,"2000-01",31,21,"0","2PT Field Goal","Left Side(L)","Mid-Range","16-24 ft.","11","Home","CHI"
"Jump Shot","Jump Shot",33.8963,-105,148,-118.3748,10,1,0,"2000-01",5,18,"1","2PT Field Goal","Left Side Center(LC)","Mid-Range","16-24 ft.","11","Home","GSW"
"Jump Shot","Jump Shot",33.8693,-48,175,-118.3178,8,1,0,"2000-01",0,18,"0","2PT Field Goal","Center(C)","Mid-Range","16-24 ft.","11","Home","GSW"
"Jump Shot","Jump Shot",33.7973,-77,247,-118.3468,4,1,0,"2000-01",58,25,"0","3PT Field Goal","Center(C)","Above the Break 3","24+ ft.","11","Home","GSW"
"Driving Layup Shot","Layup",34.0443,0,0,-118.2698,2,1,0,"2000-01",36,0,"1","2PT Field Goal","Center(C)","Restricted Area","Less Than 8 ft.","11","Home","GSW"
"Layup Shot","Layup",34.0443,0,0,-118.2698,2,1,0,"2000-01",20,0,"0","2PT Field Goal","Center(C)","Restricted Area","Less Than 8 ft.","11","Home","GSW"
"Slam Dunk Shot","Dunk",34.0443,0,0,-118.2698,2,1,0,"2000-01",8,0,"1","2PT Field Goal","Center(C)","Restricted Area","Less Than 8 ft.","11","Home","GSW"
"Jump Shot","Jump Shot",33.8183,142,226,-118.1278,1,1,0,"2000-01",43,26,"1","3PT Field Goal","Right Side Center(RC)","Above the Break 3","24+ ft.","11","Home","GSW"
"Alley Oop Dunk Shot","Dunk",34.0443,0,0,-118.2698,10,2,0,"2000-01",17,0,"1","2PT Field Goal","Center(C)","Restricted Area","Less Than 8 ft.","11","Home","GSW"
"Jump Shot","Jump Shot",33.8733,-63,171,-118.3328,9,2,0,"2000-01",16,18,"1","2PT Field Goal","Left Side Center(LC)","Mid-Range","16-24 ft.","11","Home","GSW"
"Alley Oop Dunk Shot","Dunk",34.0443,0,0,-118.2698,3,2,0,"2000-01",34,0,"1","2PT Field Goal","Center(C)","Restricted Area","Less Than 8 ft.","11","Home","GSW"
"Jump Shot","Jump Shot",33.8693,64,175,-118.2058,2,2,0,"2000-01",30,18,"1","2PT Field Goal","Right Side Center(RC)","Mid-Range","16-24 ft.","11","Home","GSW"
"Driving Dunk Shot","Dunk",34.0443,0,0,-118.2698,9,3,0,"2000-01",52,0,"1","2PT Field Goal","Center(C)","Restricted Area","Less Than 8 ft.","11","Home","GSW"
"Driving Layup Shot","Layup",34.0443,0,0,-118.2698,9,3,0,"2000-01",12,0,"1","2PT Field Goal","Center(C)","Restricted Area","Less Than 8 ft.","11","Home","GSW"
"Jump Shot","Jump Shot",33.8083,115,236,-118.1548,6,3,0,"2000-01",31,26,"1","3PT Field Goal","Right Side Center(RC)","Above the Break 3","24+ ft.","11","Home","GSW"
"Dunk Shot","Dunk",34.0443,0,0,-118.2698,6,3,0,"2000-01",9,0,"0","2PT Field Goal","Center(C)","Restricted Area","Less Than 8 ft.","11","Home","GSW"
"Turnaround Jump Shot","Jump Shot",34.0373,163,7,-118.1068,5,3,0,"2000-01",20,16,"0","2PT Field Goal","Right Side(R)","Mid-Range","16-24 ft.","11","Home","GSW"
"Layup Shot","Layup",34.0443,0,0,-118.2698,2,3,0,"2000-01",6,0,"0","2PT Field Goal","Center(C)","Restricted Area","Less Than 8 ft.","11","Home","GSW"
"Driving Layup Shot","Layup",34.0443,0,0,-118.2698,2,3,0,"2000-01",0,0,"1","2PT Field Goal","Center(C)","Restricted Area","Less Than 8 ft.","11","Home","GSW"
"Layup Shot","Layup",34.0443,0,0,-118.2698,1,3,0,"2000-01",26,0,"1","2PT Field Goal","Center(C)","Restricted Area","Less Than 8 ft.","11","Home","GSW"
"Jump Shot","Jump Shot",34.0043,64,40,-118.2058,10,1,0,"2000-01",33,7,"0","2PT Field Goal","Center(C)","In The Paint (Non-RA)","Less Than 8 ft.","11","Home","MIN"
"Running Jump Shot","Jump Shot",34.0463,-105,-2,-118.3748,7,1,0,"2000-01",33,10,"1","2PT Field Goal","Left Side(L)","Mid-Range","8-16 ft.","11","Home","MIN"
"Reverse Layup Shot","Layup",34.0443,0,0,-118.2698,5,1,0,"2000-01",52,0,"1","2PT Field Goal","Center(C)","Restricted Area","Less Than 8 ft.","11","Home","MIN"
"Jump Shot","Jump Shot",33.9493,64,95,-118.2058,3,1,0,"2000-01",56,11,"1","2PT Field Goal","Right Side(R)","In The Paint (Non-RA)","8-16 ft.","11","Home","MIN"
"Jump Shot","Jump Shot",34.0423,-132,2,-118.4018,1,1,0,"2000-01",4,13,"1","2PT Field Goal","Left Side(L)","Mid-Range","8-16 ft.","11","Home","MIN"
"Jump Shot","Jump Shot",34.0273,73,17,-118.1968,10,3,0,"2000-01",53,7,"0","2PT Field Goal","Center(C)","In The Paint (Non-RA)","Less Than 8 ft.","11","Home","MIN"
"Dunk Shot","Dunk",34.0443,0,0,-118.2698,9,3,0,"2000-01",45,0,"1","2PT Field Goal","Center(C)","Restricted Area","Less Than 8 ft.","11","Home","MIN"
"Jump Shot","Jump Shot",33.8903,-132,154,-118.4018,6,3,0,"2000-01",24,20,"0","2PT Field Goal","Left Side Center(LC)","Mid-Range","16-24 ft.","11","Home","MIN"
"Layup Shot","Layup",34.0443,0,0,-118.2698,5,3,0,"2000-01",58,0,"1","2PT Field Goal","Center(C)","Restricted Area","Less Than 8 ft.","11","Home","MIN"
"Jump Shot","Jump Shot",34.0213,235,23,-118.0348,2,3,0,"2000-01",42,23,"0","3PT Field Goal","Right Side(R)","Right Corner 3","24+ ft.","11","Home","MIN"
"Jump Shot","Jump Shot",33.8693,28,175,-118.2418,0,3,0,"2000-01",21,17,"1","2PT Field Goal","Center(C)","Mid-Range","16-24 ft.","11","Home","MIN"
"Jump Shot","Jump Shot",33.8733,184,171,-118.0858,11,4,0,"2000-01",38,25,"1","3PT Field Goal","Right Side Center(RC)","Above the Break 3","24+ ft.","11","Home","MIN"
"Running Jump Shot","Jump Shot",33.9833,127,61,-118.1428,9,4,0,"2000-01",50,14,"0","2PT Field Goal","Right Side(R)","Mid-Range","8-16 ft.","11","Home","MIN"
"Turnaround Jump Shot","Jump Shot",33.9553,28,89,-118.2418,9,4,0,"2000-01",36,9,"1","2PT Field Goal","Center(C)","In The Paint (Non-RA)","8-16 ft.","11","Home","MIN"
"Jump Shot","Jump Shot",33.8313,-84,213,-118.3538,7,4,0,"2000-01",30,22,"1","2PT Field Goal","Left Side Center(LC)","Mid-Range","16-24 ft.","11","Home","MIN"
"Running Jump Shot","Jump Shot",33.9003,-119,144,-118.3888,5,4,0,"2000-01",24,18,"1","2PT Field Goal","Left Side Center(LC)","Mid-Range","16-24 ft.","11","Home","MIN"
"Running Jump Shot","Jump Shot",33.9343,0,110,-118.2698,10,1,0,"2000-01",25,11,"0","2PT Field Goal","Center(C)","In The Paint (Non-RA)","8-16 ft.","11","Away","LAC"
"Driving Layup Shot","Layup",34.0443,0,0,-118.2698,7,1,0,"2000-01",14,0,"1","2PT Field Goal","Center(C)","Restricted Area","Less Than 8 ft.","11","Away","LAC"
"Jump Shot","Jump Shot",33.9643,127,80,-118.1428,6,1,0,"2000-01",17,15,"0","2PT Field Goal","Right Side(R)","Mid-Range","8-16 ft.","11","Away","LAC"
"Jump Shot","Jump Shot",33.8253,-143,219,-118.4128,5,1,0,"2000-01",44,26,"1","3PT Field Goal","Left Side Center(LC)","Above the Break 3","24+ ft.","11","Away","LAC"
"Jump Shot","Jump Shot",33.9033,77,141,-118.1928,7,2,0,"2000-01",18,16,"1","2PT Field Goal","Right Side Center(RC)","Mid-Range","16-24 ft.","11","Away","LAC"
"Running Jump Shot","Jump Shot",33.9743,-6,70,-118.2758,6,2,0,"2000-01",35,7,"1","2PT Field Goal","Center(C)","In The Paint (Non-RA)","Less Than 8 ft.","11","Away","LAC"
"Driving Layup Shot","Layup",34.0443,0,0,-118.2698,2,2,0,"2000-01",8,0,"1","2PT Field Goal","Center(C)","Restricted Area","Less Than 8 ft.","11","Away","LAC"
"Layup Shot","Layup",34.0443,0,0,-118.2698,1,2,0,"2000-01",39,0,"1","2PT Field Goal","Center(C)","Restricted Area","Less Than 8 ft.","11","Away","LAC"
"Jump Shot","Jump Shot",33.8293,144,215,-118.1258,0,2,0,"2000-01",36,25,"1","3PT Field Goal","Right Side Center(RC)","Above the Break 3","24+ ft.","11","Away","LAC"
"Jump Shot","Jump Shot",33.8673,-63,177,-118.3328,11,3,0,"2000-01",24,18,"0","2PT Field Goal","Left Side Center(LC)","Mid-Range","16-24 ft.","11","Away","LAC"
"Jump Shot","Jump Shot",33.7853,100,259,-118.1698,7,3,0,"2000-01",20,27,"0","3PT Field Goal","Right Side Center(RC)","Above the Break 3","24+ ft.","11","Away","LAC"
"Turnaround Jump Shot","Jump Shot",33.9663,-48,78,-118.3178,4,3,0,"2000-01",53,9,"1","2PT Field Goal","Left Side(L)","In The Paint (Non-RA)","8-16 ft.","11","Away","LAC"
"Jump Shot","Jump Shot",33.8463,153,198,-118.1168,3,3,0,"2000-01",42,25,"0","3PT Field Goal","Right Side Center(RC)","Above the Break 3","24+ ft.","11","Away","LAC"
"Alley Oop Layup shot","Layup",34.0233,-56,21,-118.3258,2,3,0,"2000-01",15,5,"1","2PT Field Goal","Center(C)","In The Paint (Non-RA)","Less Than 8 ft.","11","Away","LAC"
"Driving Layup Shot","Layup",34.0443,0,0,-118.2698,0,3,0,"2000-01",54,0,"0","2PT Field Goal","Center(C)","Restricted Area","Less Than 8 ft.","11","Away","LAC"
"Jump Shot","Jump Shot",34.0333,201,11,-118.0688,11,4,0,"2000-01",7,20,"1","2PT Field Goal","Right Side(R)","Mid-Range","16-24 ft.","11","Away","LAC"
"Jump Shot","Jump Shot",34.0103,243,34,-118.0268,9,1,0,"2000-01",42,24,"1","3PT Field Goal","Right Side(R)","Right Corner 3","24+ ft.","11","Home","IND"
"Jump Shot","Jump Shot",33.8123,123,232,-118.1468,5,1,0,"2000-01",0,26,"1","3PT Field Goal","Right Side Center(RC)","Above the Break 3","24+ ft.","11","Home","IND"
"Jump Shot","Jump Shot",33.9073,-157,137,-118.4268,3,1,0,"2000-01",30,20,"1","2PT Field Goal","Left Side Center(LC)","Mid-Range","16-24 ft.","11","Home","IND"
"Jump Shot","Jump Shot",33.9343,138,110,-118.1318,11,2,0,"2000-01",8,17,"0","2PT Field Goal","Right Side Center(RC)","Mid-Range","16-24 ft.","11","Home","IND"
"Jump Shot","Jump Shot",33.9073,102,137,-118.1678,8,2,0,"2000-01",40,17,"0","2PT Field Goal","Right Side Center(RC)","Mid-Range","16-24 ft.","11","Home","IND"
"Jump Shot","Jump Shot",34.0273,186,17,-118.0838,3,2,0,"2000-01",47,18,"0","2PT Field Goal","Right Side(R)","Mid-Range","16-24 ft.","11","Home","IND"
"Driving Layup Shot","Layup",34.0443,0,0,-118.2698,2,2,0,"2000-01",54,0,"1","2PT Field Goal","Center(C)","Restricted Area","Less Than 8 ft.","11","Home","IND"
"Slam Dunk Shot","Dunk",34.0443,0,0,-118.2698,8,3,0,"2000-01",22,0,"1","2PT Field Goal","Center(C)","Restricted Area","Less Than 8 ft.","11","Home","IND"
"Jump Shot","Jump Shot",33.7993,142,245,-118.1278,7,3,0,"2000-01",22,28,"0","3PT Field Goal","Right Side Center(RC)","Above the Break 3","24+ ft.","11","Home","IND"
"Jump Shot","Jump Shot",33.9743,-33,70,-118.3028,6,3,0,"2000-01",52,7,"0","2PT Field Goal","Center(C)","In The Paint (Non-RA)","Less Than 8 ft.","11","Home","IND"
"Jump Shot","Jump Shot",34.0023,-12,42,-118.2818,6,3,0,"2000-01",48,4,"0","2PT Field Goal","Center(C)","In The Paint (Non-RA)","Less Than 8 ft.","11","Home","IND"
"Jump Shot","Jump Shot",33.9403,121,104,-118.1488,4,3,0,"2000-01",58,15,"0","2PT Field Goal","Right Side(R)","Mid-Range","8-16 ft.","11","Home","IND"
"Driving Layup Shot","Layup",34.0443,0,0,-118.2698,4,3,0,"2000-01",3,0,"1","2PT Field Goal","Center(C)","Restricted Area","Less Than 8 ft.","11","Home","IND"
"Jump Shot","Jump Shot",33.8813,79,163,-118.1908,3,3,0,"2000-01",18,18,"0","2PT Field Goal","Right Side Center(RC)","Mid-Range","16-24 ft.","11","Home","IND"
"Jump Shot","Jump Shot",34.0443,-94,0,-118.3638,2,3,0,"2000-01",57,9,"0","2PT Field Goal","Left Side(L)","Mid-Range","8-16 ft.","11","Home","IND"
"Running Jump Shot","Jump Shot",33.9093,-124,135,-118.3938,2,3,0,"2000-01",19,18,"1","2PT Field Goal","Left Side Center(LC)","Mid-Range","16-24 ft.","11","Home","IND"
NA,"Dunk",34.0443,0,0,-118.2698,1,3,0,"2000-01",15,0,"0","2PT Field Goal","Center(C)","Restricted Area","Less Than 8 ft.","11","Home","IND"
"Jump Shot","Jump Shot",33.6353,108,409,-118.1618,0,3,0,"2000-01",0,42,"0","3PT Field Goal","Back Court(BC)","Above the Break 3","Back Court Shot","11","Home","IND"
"Jump Shot","Jump Shot",33.9093,-67,135,-118.3368,10,4,0,"2000-01",32,15,"0","2PT Field Goal","Center(C)","In The Paint (Non-RA)","8-16 ft.","11","Home","IND"
"Jump Shot","Jump Shot",33.8203,-160,224,-118.4298,10,4,0,"2000-01",6,27,"1","3PT Field Goal","Left Side Center(LC)","Above the Break 3","24+ ft.","11","Home","IND"
"Jump Shot","Jump Shot",34.0353,-134,9,-118.4038,10,1,0,"2000-01",59,13,"1","2PT Field Goal","Left Side(L)","Mid-Range","8-16 ft.","11","Away","SEA"
"Jump Shot","Jump Shot",34.0293,-122,15,-118.3918,8,1,0,"2000-01",37,12,"0","2PT Field Goal","Left Side(L)","Mid-Range","8-16 ft.","11","Away","SEA"
"Jump Shot","Jump Shot",33.9283,-101,116,-118.3708,7,1,0,"2000-01",10,15,"0","2PT Field Goal","Left Side(L)","Mid-Range","8-16 ft.","11","Away","SEA"
"Running Jump Shot","Jump Shot",34.0253,-29,19,-118.2988,0,1,0,"2000-01",48,3,"1","2PT Field Goal","Center(C)","Restricted Area","Less Than 8 ft.","11","Away","SEA"
"Jump Shot","Jump Shot",33.7993,-50,245,-118.3198,0,1,0,"2000-01",24,25,"0","3PT Field Goal","Center(C)","Above the Break 3","24+ ft.","11","Away","SEA"
"Jump Shot","Jump Shot",33.5783,-150,466,-118.4198,0,1,0,"2000-01",0,48,"0","3PT Field Goal","Back Court(BC)","Backcourt","Back Court Shot","11","Away","SEA"
"Layup Shot","Layup",34.0313,-29,13,-118.2988,11,2,0,"2000-01",48,3,"0","2PT Field Goal","Center(C)","Restricted Area","Less Than 8 ft.","11","Away","SEA"
"Jump Shot","Jump Shot",34.0253,-35,19,-118.3048,9,2,0,"2000-01",0,3,"0","2PT Field Goal","Center(C)","Restricted Area","Less Than 8 ft.","11","Away","SEA"
"Jump Shot","Jump Shot",34.0253,-35,19,-118.3048,1,2,0,"2000-01",54,3,"0","2PT Field Goal","Center(C)","Restricted Area","Less Than 8 ft.","11","Away","SEA"
"Slam Dunk Shot","Dunk",34.0443,0,0,-118.2698,9,3,0,"2000-01",37,0,"1","2PT Field Goal","Center(C)","Restricted Area","Less Than 8 ft.","11","Away","SEA"
"Jump Shot","Jump Shot",33.8373,167,207,-118.1028,9,3,0,"2000-01",6,26,"0","3PT Field Goal","Right Side Center(RC)","Above the Break 3","24+ ft.","11","Away","SEA"
"Slam Dunk Shot","Dunk",34.0443,0,0,-118.2698,7,3,0,"2000-01",2,0,"1","2PT Field Goal","Center(C)","Restricted Area","Less Than 8 ft.","11","Away","SEA"
"Jump Shot","Jump Shot",33.8673,60,177,-118.2098,3,3,0,"2000-01",45,18,"1","2PT Field Goal","Right Side Center(RC)","Mid-Range","16-24 ft.","11","Away","SEA"
"Driving Layup Shot","Layup",34.0443,0,0,-118.2698,1,3,0,"2000-01",28,0,"1","2PT Field Goal","Center(C)","Restricted Area","Less Than 8 ft.","11","Away","SEA"
"Jump Shot","Jump Shot",33.7913,-86,253,-118.3558,9,1,0,"2000-01",34,26,"0","3PT Field Goal","Left Side Center(LC)","Above the Break 3","24+ ft.","12","Home","SAS"
"Jump Shot","Jump Shot",33.9763,172,68,-118.0978,7,1,0,"2000-01",28,18,"1","2PT Field Goal","Right Side(R)","Mid-Range","16-24 ft.","12","Home","SAS"
"Jump Shot","Jump Shot",34.0163,-50,28,-118.3198,6,1,0,"2000-01",35,5,"0","2PT Field Goal","Center(C)","In The Paint (Non-RA)","Less Than 8 ft.","12","Home","SAS"
"Jump Shot","Jump Shot",33.8793,-86,165,-118.3558,5,1,0,"2000-01",30,18,"1","2PT Field Goal","Left Side Center(LC)","Mid-Range","16-24 ft.","12","Home","SAS"
"Jump Shot","Jump Shot",34.0163,-79,28,-118.3488,4,1,0,"2000-01",50,8,"0","2PT Field Goal","Left Side(L)","In The Paint (Non-RA)","8-16 ft.","12","Home","SAS"
"Driving Dunk Shot","Dunk",34.0443,0,0,-118.2698,4,1,0,"2000-01",4,0,"1","2PT Field Goal","Center(C)","Restricted Area","Less Than 8 ft.","12","Home","SAS"
"Jump Shot","Jump Shot",33.9003,18,144,-118.2518,2,1,0,"2000-01",33,14,"0","2PT Field Goal","Center(C)","Mid-Range","8-16 ft.","12","Home","SAS"
"Jump Shot","Jump Shot",33.9893,123,55,-118.1468,2,1,0,"2000-01",0,13,"0","2PT Field Goal","Right Side(R)","Mid-Range","8-16 ft.","12","Home","SAS"
"Driving Layup Shot","Layup",34.0443,0,0,-118.2698,0,1,0,"2000-01",7,0,"0","2PT Field Goal","Center(C)","Restricted Area","Less Than 8 ft.","12","Home","SAS"
